Sample in Buffer,Sample in Window,TRIGGER,ctime400[23:0],tdc_dvalid_1[0:0],tdc_dvalid[1:1],fine_time_0[7:0],fine_time_1[7:0]
0,0,1,6627c6,1,1,7c,95
1,1,0,662956,1,1,7c,96
2,2,0,662ae6,1,1,7e,96
3,3,0,662c76,1,1,7e,97
4,4,0,662e06,1,1,7d,96
5,5,0,662f96,1,1,7e,96
6,6,0,663126,1,1,7e,99
7,7,0,6632b6,1,1,7e,99
8,8,0,663446,1,1,80,9a
9,9,0,6635d6,1,1,80,9a
10,10,0,663766,1,1,82,9a
11,11,0,6638f6,1,1,80,9a
12,12,0,663a86,1,1,83,9b
13,13,0,663c16,1,1,80,9a
14,14,0,663da6,1,1,85,9d
15,15,0,663f36,1,1,85,9d
16,16,0,6640c6,1,1,85,9d
17,17,0,664256,1,1,85,9d
18,18,0,6643e6,1,1,85,9e
19,19,0,664576,1,1,85,9d
20,20,0,664706,1,1,85,9d
21,21,0,664896,1,1,86,9e
22,22,0,664a26,1,1,85,9d
23,23,0,664bb6,1,1,86,9e
24,24,0,664d46,1,1,86,9e
25,25,0,664ed6,1,1,86,9e
26,26,0,665066,1,0,88,a1
27,27,0,6651f6,1,0,88,a1
28,28,0,665386,1,0,88,a0
29,29,0,665516,1,0,88,a1
30,30,0,6656a6,1,0,88,a1
31,31,0,665836,1,0,89,a1
32,32,0,6659c6,1,0,89,a1
33,33,0,665b56,1,0,89,a1
34,34,0,665ce6,1,0,89,a1
35,35,0,665e76,1,0,89,a2
36,36,0,666006,1,0,89,a1
37,37,0,666196,1,0,8b,a3
38,38,0,666326,1,0,8c,a5
39,39,0,6664b6,1,0,89,a2
40,40,0,666646,1,0,8c,a5
41,41,0,6667d6,1,0,8d,a5
42,42,0,666966,1,0,8c,a5
43,43,0,666af6,1,0,8e,a5
44,44,0,666c86,1,0,8e,a5
45,45,0,666e16,1,0,8e,a5
46,46,0,666fa6,1,0,8e,a5
47,47,0,667136,1,0,8e,a6
48,48,0,6672c6,1,0,8f,a7
49,49,0,667456,1,0,90,a8
50,50,0,6675e6,1,0,91,a9
51,51,0,667776,1,0,92,aa
52,52,0,667906,1,0,91,a9
53,53,0,667a96,1,0,92,aa
54,54,0,667c26,1,0,92,aa
55,55,0,667db6,1,0,92,aa
56,56,0,667f46,1,0,93,ac
57,57,0,6680d6,1,0,92,ab
58,58,0,668266,1,0,93,ad
59,59,0,6683f6,1,0,95,ae
60,60,0,668586,1,0,94,ad
61,61,0,668716,1,0,94,ad
62,62,0,6688a6,1,0,98,ae
63,63,0,668a36,1,0,96,ae
64,64,0,668bc6,1,0,99,b1
65,65,0,668d56,1,0,98,ae
66,66,0,668ee6,1,0,98,ae
67,67,0,669076,1,0,99,b1
68,68,0,669206,1,0,99,b1
69,69,0,669396,1,0,99,b1
70,70,0,669526,1,0,9a,b2
71,71,0,6696b6,1,0,99,b1
72,72,0,669846,1,0,9a,b1
73,73,0,6699d6,1,0,9a,b2
74,74,0,669b66,1,0,9a,b2
75,75,0,669cf6,1,0,9a,b2
76,76,0,669e86,1,0,9c,b4
77,77,0,66a016,1,0,9c,b5
78,78,0,66a1a6,1,0,9c,b5
79,79,0,66a336,1,0,9c,b4
80,80,0,66a4c6,1,0,9c,b5
81,81,0,66a656,1,0,9c,b5
82,82,0,66a7e6,1,0,9c,b6
83,83,0,66a976,1,0,9d,b8
84,84,0,66ab06,1,0,9c,b5
85,85,0,66ac96,1,0,9d,b7
86,86,0,66ae26,1,0,9d,b7
87,87,0,66afb6,1,0,9d,b7
88,88,0,66b146,1,0,9d,b6
89,89,0,66b2d6,1,0,9d,b9
90,90,0,66b465,1,1,04,1c
91,91,0,66b5f5,1,1,05,1d
92,92,0,66b785,1,1,04,1c
93,93,0,66b915,1,1,05,1d
94,94,0,66baa5,1,1,05,1d
95,95,0,66bc35,1,1,05,1d
96,96,0,66bdc5,1,1,05,1d
97,97,0,66bf55,1,1,06,1e
98,98,0,66c0e5,1,1,06,1e
99,99,0,66c275,1,1,06,1e
100,100,0,66c405,1,1,06,1e
101,101,0,66c595,1,1,06,1e
102,102,0,66c725,1,1,06,1e
103,103,0,66c8b5,1,1,06,1e
104,104,0,66ca45,1,1,06,1e
105,105,0,66cbd5,1,1,07,1f
106,106,0,66cd65,1,1,08,21
107,107,0,66cef5,1,1,09,21
108,108,0,66d085,1,1,09,21
109,109,0,66d215,1,1,09,22
110,110,0,66d3a5,1,1,09,22
111,111,0,66d535,1,1,09,22
112,112,0,66d6c5,1,1,09,23
113,113,0,66d855,1,1,09,23
114,114,0,66d9e5,1,1,09,23
115,115,0,66db75,1,1,0b,25
116,116,0,66dd05,1,1,0c,25
117,117,0,66de95,1,1,0c,25
118,118,0,66e025,1,1,0c,25
119,119,0,66e1b5,1,1,0d,26
120,120,0,66e345,1,1,0d,26
121,121,0,66e4d5,1,1,0d,26
122,122,0,66e665,1,1,0e,28
123,123,0,66e7f5,1,1,10,29
124,124,0,66e985,1,1,0e,28
125,125,0,66eb15,1,1,11,29
126,126,0,66eca5,1,1,11,29
127,127,0,66ee35,1,1,11,29
128,128,0,66efc5,1,1,11,2a
129,129,0,66f155,1,1,11,2a
130,130,0,66f2e5,1,1,12,2b
131,131,0,66f475,1,1,12,2b
132,132,0,66f605,1,1,12,2c
133,133,0,66f795,1,1,12,2c
134,134,0,66f925,1,1,13,2d
135,135,0,66fab5,1,1,12,2d
136,136,0,66fc45,1,1,13,2d
137,137,0,66fdd5,1,1,13,2e
138,138,0,66ff65,1,1,15,2e
139,139,0,6700f5,1,1,15,2e
140,140,0,670285,1,1,15,2e
141,141,0,670415,1,1,15,2e
142,142,0,6705a5,1,1,15,2e
143,143,0,670735,1,1,15,2e
144,144,0,6708c5,1,1,16,30
145,145,0,670a55,1,1,16,31
146,146,0,670be5,1,1,17,32
147,147,0,670d75,1,1,18,33
148,148,0,670f05,1,1,16,32
149,149,0,671095,1,1,19,34
150,150,0,671225,1,1,19,35
151,151,0,6713b5,1,1,19,35
152,152,0,671545,1,1,19,35
153,153,0,6716d5,1,1,19,35
154,154,0,671865,1,1,1a,35
155,155,0,6719f5,1,1,19,35
156,156,0,671b85,1,1,1a,36
157,157,0,671d15,1,1,1a,35
158,158,0,671ea5,1,1,1b,36
159,159,0,672035,1,1,1d,38
160,160,0,6721c5,1,1,1d,38
161,161,0,672355,1,1,1d,36
162,162,0,6724e5,1,1,1d,38
163,163,0,672675,1,1,1e,39
164,164,0,672805,1,1,21,3a
165,165,0,672995,1,1,1e,3a
166,166,0,672b25,1,1,21,3a
167,167,0,672cb5,1,1,1f,3a
168,168,0,672e45,1,1,21,3b
169,169,0,672fd5,1,1,21,3c
170,170,0,673165,1,1,21,3b
171,171,0,6732f5,1,1,21,3c
172,172,0,673485,1,1,22,3d
173,173,0,673615,1,1,22,3c
174,174,0,6737a5,1,1,22,3d
175,175,0,673935,1,1,21,3c
176,176,0,673ac5,1,1,22,3d
177,177,0,673c55,1,1,25,3f
178,178,0,673de5,1,1,25,3e
179,179,0,673f75,1,1,25,3d
180,180,0,674105,1,1,25,3d
181,181,0,674295,1,1,25,3f
182,182,0,674425,1,1,26,3f
183,183,0,6745b5,1,1,26,41
184,184,0,674745,1,1,26,41
185,185,0,6748d5,1,1,26,42
186,186,0,674a65,1,1,28,43
187,187,0,674bf5,1,1,26,41
188,188,0,674d85,1,1,28,43
189,189,0,674f15,1,1,29,44
190,190,0,6750a5,1,1,29,45
191,191,0,675235,1,1,29,44
192,192,0,6753c5,1,1,29,45
193,193,0,675555,1,1,29,45
194,194,0,6756e5,1,1,29,45
195,195,0,675875,1,1,2a,45
196,196,0,675a05,1,1,2a,46
197,197,0,675b95,1,1,2b,46
198,198,0,675d25,1,1,2a,45
199,199,0,675eb5,1,1,2d,48
200,200,0,676045,1,1,2b,46
201,201,0,6761d5,1,1,2b,46
202,202,0,676365,1,1,2d,49
203,203,0,6764f5,1,1,2d,49
204,204,0,676685,1,1,2d,49
