Sample in Buffer,Sample in Window,TRIGGER,ctime400[23:0],tdc_dvalid_1[0:0],tdc_dvalid[1:1],fine_time_0[7:0],fine_time_1[7:0]
0,0,1,120ba0,1,1,8b,9d
1,1,0,120d30,1,1,8b,9d
2,2,0,120ec0,1,1,8c,9d
3,3,0,121050,1,1,8b,9d
4,4,0,1211e0,1,0,8e,9e
5,5,0,121370,1,0,8d,9e
6,6,0,121500,1,0,8f,a1
7,7,0,121690,1,1,8d,9d
8,8,0,121820,1,0,8f,a1
9,9,0,1219b0,1,0,8f,9e
10,10,0,121b40,1,0,8f,9e
11,11,0,121cd0,1,0,8f,a1
12,12,0,121e60,1,0,90,a1
13,13,0,121ff0,1,0,91,a1
14,14,0,122180,1,0,91,a1
15,15,0,122310,1,0,91,a1
16,16,0,1224a0,1,0,91,a1
17,17,0,122630,1,0,92,a1
18,18,0,1227c0,1,0,91,a1
19,19,0,122950,1,0,93,a2
20,20,0,122ae0,1,0,92,a1
21,21,0,122c70,1,0,95,a2
22,22,0,122e00,1,0,93,a2
23,23,0,122f90,1,0,95,a2
24,24,0,123120,1,0,92,a2
25,25,0,1232b0,1,0,95,a4
26,26,0,123440,1,0,95,a2
27,27,0,1235d0,1,0,95,a5
28,28,0,123760,1,0,96,a5
29,29,0,1238f0,1,0,96,a5
30,30,0,123a80,1,0,98,a6
31,31,0,123c10,1,0,96,a6
32,32,0,123da0,1,0,96,a6
33,33,0,123f30,1,0,97,a7
34,34,0,1240c0,1,0,99,a7
35,35,0,124250,1,0,99,a8
36,36,0,1243e0,1,0,99,a7
37,37,0,124570,1,0,99,a8
38,38,0,124700,1,0,99,a8
39,39,0,124890,1,0,99,a8
40,40,0,124a20,1,0,99,a9
41,41,0,124bb0,1,0,99,aa
42,42,0,124d40,1,0,99,aa
43,43,0,124ed0,1,0,99,aa
44,44,0,125060,1,0,99,aa
45,45,0,1251f0,1,0,9a,aa
46,46,0,125380,1,0,9a,ab
47,47,0,125510,1,0,9c,ad
48,48,0,1256a0,1,0,9a,aa
49,49,0,125830,1,0,9c,ad
50,50,0,1259c0,1,0,9c,ac
51,51,0,125b50,1,0,9c,ad
52,52,0,125ce0,1,0,9a,aa
53,53,0,125e70,1,0,9c,ad
54,54,0,126000,1,0,9c,ad
55,55,0,126190,1,0,9c,ad
56,56,0,126320,1,0,9d,ad
57,57,0,1264b0,1,0,9d,ae
58,58,0,126640,1,0,9d,af
59,59,0,1267d0,1,0,9d,ae
60,60,0,126960,1,0,9d,ae
61,61,0,126aef,1,1,04,13
62,62,0,126c7f,1,1,04,13
63,63,0,126e10,1,0,9d,af
64,64,0,126fa0,1,0,9d,b1
65,65,0,127130,1,0,9d,b0
66,66,0,1272bf,1,1,04,14
67,67,0,12744f,1,1,04,15
68,68,0,1275df,1,1,05,16
69,69,0,12776f,1,1,04,14
70,70,0,1278ff,1,1,05,15
71,71,0,127a8f,1,1,05,16
72,72,0,127c1f,1,1,05,16
73,73,0,127daf,1,1,05,19
74,74,0,127f3f,1,1,05,16
75,75,0,1280cf,1,1,05,19
76,76,0,12825f,1,1,06,19
77,77,0,1283ef,1,1,05,16
78,78,0,12857f,1,1,05,18
79,79,0,12870f,1,1,05,19
80,80,0,12889f,1,1,06,19
81,81,0,128a2f,1,1,06,19
82,82,0,128bbf,1,1,09,1a
83,83,0,128d4f,1,1,09,1a
84,84,0,128edf,1,1,09,1a
85,85,0,12906f,1,1,09,1a
86,86,0,1291ff,1,1,09,1a
87,87,0,12938f,1,1,09,1a
88,88,0,12951f,1,1,0a,1d
89,89,0,1296af,1,1,09,1a
90,90,0,12983f,1,1,0a,1d
91,91,0,1299cf,1,1,0a,1d
92,92,0,129b5f,1,1,09,1c
93,93,0,129cef,1,1,0a,1d
94,94,0,129e7f,1,1,0a,1d
95,95,0,12a00f,1,1,0c,1d
96,96,0,12a19f,1,1,0c,1d
97,97,0,12a32f,1,1,0d,1e
98,98,0,12a4bf,1,1,0d,1d
99,99,0,12a64f,1,1,0d,1e
100,100,0,12a7df,1,1,0e,1e
101,101,0,12a96f,1,1,0d,1e
102,102,0,12aaff,1,1,0e,21
103,103,0,12ac8f,1,1,0f,21
104,104,0,12ae1f,1,1,0e,21
105,105,0,12afaf,1,1,0e,1f
106,106,0,12b13f,1,1,0d,1e
107,107,0,12b2cf,1,1,0f,21
108,108,0,12b45f,1,1,0f,21
109,109,0,12b5ef,1,1,11,21
110,110,0,12b77f,1,1,11,21
111,111,0,12b90f,1,1,12,24
112,112,0,12ba9f,1,1,11,22
113,113,0,12bc2f,1,1,11,22
114,114,0,12bdbf,1,1,11,24
115,115,0,12bf4f,1,1,12,25
116,116,0,12c0df,1,1,12,25
117,117,0,12c26f,1,1,12,25
118,118,0,12c3ff,1,1,12,25
119,119,0,12c58f,1,1,12,25
120,120,0,12c71f,1,1,15,26
121,121,0,12c8af,1,1,13,25
122,122,0,12ca3f,1,1,15,26
123,123,0,12cbcf,1,1,15,26
124,124,0,12cd5f,1,1,15,26
125,125,0,12ceef,1,1,15,29
126,126,0,12d07f,1,1,15,26
127,127,0,12d20f,1,1,15,28
128,128,0,12d39f,1,1,15,28
129,129,0,12d52f,1,1,15,28
