"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.162200500E-2,-3.476380825E0,7.829039693E-1,9.121908188E0,9.793230889E0
1.362165400E-2,-3.488351822E0,7.900865674E-1,9.114726067E0,9.791377150E0
1.562106800E-2,-3.483563423E0,7.972691655E-1,9.105149269E0,9.781339144E0
1.762122400E-2,-3.481169224E0,7.876923680E-1,9.107542992E0,9.781939367E0
1.962110700E-2,-3.481169224E0,7.852981687E-1,9.102754593E0,9.777288661E0
2.162079400E-2,-3.478775024E0,7.876923680E-1,9.107542992E0,9.781087582E0
2.362028700E-2,-3.488351822E0,7.852981687E-1,9.109937668E0,9.786534420E0
2.562001300E-2,-3.488351822E0,7.829039693E-1,9.117119789E0,9.793028659E0
2.761942700E-2,-3.490746021E0,7.948749661E-1,9.121908188E0,9.799303189E0
2.961931000E-2,-3.485957623E0,7.900865674E-1,9.121908188E0,9.797211150E0
3.161895800E-2,-3.476380825E0,7.876923680E-1,9.119514465E0,9.791385346E0
3.361872400E-2,-3.473986626E0,7.852981687E-1,9.121908188E0,9.792572965E0
3.561860700E-2,-3.473986626E0,7.757213712E-1,9.114726067E0,9.785119212E0
3.761923200E-2,-3.488351822E0,7.805097699E-1,9.124302864E0,9.799525330E0
3.961915400E-2,-3.488351822E0,7.781155705E-1,9.133879662E0,9.808252645E0
4.161837200E-2,-3.471592426E0,7.781155705E-1,9.150638580E0,9.817922603E0
4.361778700E-2,-3.466804028E0,7.709329724E-1,9.138668060E0,9.804505175E0
4.561786500E-2,-3.481169224E0,7.709329724E-1,9.148244858E0,9.818516221E0
4.761724000E-2,-3.485957623E0,7.709329724E-1,9.150638580E0,9.822444941E0
4.961751300E-2,-3.490746021E0,7.733271718E-1,9.153033257E0,9.826564023E0
5.161735700E-2,-3.495534420E0,7.781155705E-1,9.150638580E0,9.826413952E0
5.361751300E-2,-3.493140221E0,7.781155705E-1,9.153033257E0,9.827792745E0
5.561743500E-2,-3.490746021E0,7.805097699E-1,9.169792175E0,9.842743105E0
5.761774700E-2,-3.493140221E0,7.733271718E-1,9.184157372E0,9.856409597E0
5.961802100E-2,-3.500322819E0,7.805097699E-1,9.191340446E0,9.866214803E0
6.161774700E-2,-3.490746021E0,7.805097699E-1,9.184157372E0,9.856127531E0
6.361684900E-2,-3.502717018E0,7.709329724E-1,9.176975250E0,9.852930473E0
6.561556000E-2,-3.500322819E0,7.733271718E-1,9.181763649E0,9.856727573E0
6.761544300E-2,-3.497928619E0,7.709329724E-1,9.191340446E0,9.864612586E0
6.961431000E-2,-3.495534420E0,7.805097699E-1,9.191340446E0,9.864516997E0
7.161360700E-2,-3.490746021E0,7.829039693E-1,9.188945770E0,9.860779420E0
7.361395800E-2,-3.495534420E0,7.757213712E-1,9.188945770E0,9.861907974E0
7.561372400E-2,-3.500322819E0,7.829039693E-1,9.203310966E0,9.877556945E0
7.761395800E-2,-3.505111217E0,7.876923680E-1,9.193734169E0,9.870714862E0
7.961329400E-2,-3.500322819E0,7.805097699E-1,9.198522568E0,9.872905994E0
8.161192700E-2,-3.507505417E0,7.805097699E-1,9.205705643E0,9.882145826E0
8.361110700E-2,-3.502717018E0,7.757213712E-1,9.186552048E0,9.862226355E0
8.561083300E-2,-3.495534420E0,7.829039693E-1,9.191340446E0,9.864706722E0
8.761157600E-2,-3.493140221E0,7.757213712E-1,9.176975250E0,9.849905938E0
