Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,2500
Zero Index,399.59375000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-6.39350000e-08,8.00000000e-03
-6.37750000e-08,8.00000000e-03
-6.36150000e-08,8.00000000e-03
-6.34550000e-08,0.00000000e+00
-6.32950000e-08,0.00000000e+00
-6.31350000e-08,8.00000000e-03
-6.29750000e-08,8.00000000e-03
-6.28150000e-08,0.00000000e+00
-6.26550000e-08,0.00000000e+00
-6.24950000e-08,8.00000000e-03
-6.23350000e-08,8.00000000e-03
-6.21750000e-08,8.00000000e-03
-6.20150000e-08,8.00000000e-03
-6.18550000e-08,8.00000000e-03
-6.16950000e-08,8.00000000e-03
-6.15350000e-08,8.00000000e-03
-6.13750000e-08,8.00000000e-03
-6.12150000e-08,8.00000000e-03
-6.10550000e-08,8.00000000e-03
-6.08950000e-08,0.00000000e+00
-6.07350000e-08,0.00000000e+00
-6.05750000e-08,0.00000000e+00
-6.04150000e-08,0.00000000e+00
-6.02550000e-08,0.00000000e+00
-6.00950000e-08,0.00000000e+00
-5.99350000e-08,8.00000000e-03
-5.97750000e-08,8.00000000e-03
-5.96150000e-08,8.00000000e-03
-5.94550000e-08,0.00000000e+00
-5.92950000e-08,8.00000000e-03
-5.91350000e-08,8.00000000e-03
-5.89750000e-08,0.00000000e+00
-5.88150000e-08,0.00000000e+00
-5.86550000e-08,8.00000000e-03
-5.84950000e-08,0.00000000e+00
-5.83350000e-08,0.00000000e+00
-5.81750000e-08,8.00000000e-03
-5.80150000e-08,8.00000000e-03
-5.78550000e-08,0.00000000e+00
-5.76950000e-08,0.00000000e+00
-5.75350000e-08,8.00000000e-03
-5.73750000e-08,8.00000000e-03
-5.72150000e-08,0.00000000e+00
-5.70550000e-08,0.00000000e+00
-5.68950000e-08,0.00000000e+00
-5.67350000e-08,8.00000000e-03
-5.65750000e-08,8.00000000e-03
-5.64150000e-08,8.00000000e-03
-5.62550000e-08,8.00000000e-03
-5.60950000e-08,8.00000000e-03
-5.59350000e-08,0.00000000e+00
-5.57750000e-08,0.00000000e+00
-5.56150000e-08,0.00000000e+00
-5.54550000e-08,8.00000000e-03
-5.52950000e-08,8.00000000e-03
-5.51350000e-08,0.00000000e+00
-5.49750000e-08,0.00000000e+00
-5.48150000e-08,8.00000000e-03
-5.46550000e-08,8.00000000e-03
-5.44950000e-08,8.00000000e-03
-5.43350000e-08,0.00000000e+00
-5.41750000e-08,8.00000000e-03
-5.40150000e-08,8.00000000e-03
-5.38550000e-08,0.00000000e+00
-5.36950000e-08,8.00000000e-03
-5.35350000e-08,8.00000000e-03
-5.33750000e-08,8.00000000e-03
-5.32150000e-08,0.00000000e+00
-5.30550000e-08,0.00000000e+00
-5.28950000e-08,8.00000000e-03
-5.27350000e-08,8.00000000e-03
-5.25750000e-08,0.00000000e+00
-5.24150000e-08,0.00000000e+00
-5.22550000e-08,8.00000000e-03
-5.20950000e-08,8.00000000e-03
-5.19350000e-08,0.00000000e+00
-5.17750000e-08,0.00000000e+00
-5.16150000e-08,8.00000000e-03
-5.14550000e-08,8.00000000e-03
-5.12950000e-08,8.00000000e-03
-5.11350000e-08,8.00000000e-03
-5.09750000e-08,8.00000000e-03
-5.08150000e-08,8.00000000e-03
-5.06550000e-08,0.00000000e+00
-5.04950000e-08,0.00000000e+00
-5.03350000e-08,8.00000000e-03
-5.01750000e-08,0.00000000e+00
-5.00150000e-08,0.00000000e+00
-4.98550000e-08,0.00000000e+00
-4.96950000e-08,8.00000000e-03
-4.95350000e-08,8.00000000e-03
-4.93750000e-08,8.00000000e-03
-4.92150000e-08,8.00000000e-03
-4.90550000e-08,8.00000000e-03
-4.88950000e-08,8.00000000e-03
-4.87350000e-08,0.00000000e+00
-4.85750000e-08,0.00000000e+00
-4.84150000e-08,8.00000000e-03
-4.82550000e-08,8.00000000e-03
-4.80950000e-08,0.00000000e+00
-4.79350000e-08,0.00000000e+00
-4.77750000e-08,8.00000000e-03
-4.76150000e-08,8.00000000e-03
-4.74550000e-08,0.00000000e+00
-4.72950000e-08,8.00000000e-03
-4.71350000e-08,8.00000000e-03
-4.69750000e-08,8.00000000e-03
-4.68150000e-08,0.00000000e+00
-4.66550000e-08,0.00000000e+00
-4.64950000e-08,0.00000000e+00
-4.63350000e-08,0.00000000e+00
-4.61750000e-08,0.00000000e+00
-4.60150000e-08,8.00000000e-03
-4.58550000e-08,8.00000000e-03
-4.56950000e-08,8.00000000e-03
-4.55350000e-08,8.00000000e-03
-4.53750000e-08,0.00000000e+00
-4.52150000e-08,8.00000000e-03
-4.50550000e-08,8.00000000e-03
-4.48950000e-08,8.00000000e-03
-4.47350000e-08,0.00000000e+00
-4.45750000e-08,8.00000000e-03
-4.44150000e-08,8.00000000e-03
-4.42550000e-08,8.00000000e-03
-4.40950000e-08,8.00000000e-03
-4.39350000e-08,8.00000000e-03
-4.37750000e-08,8.00000000e-03
-4.36150000e-08,0.00000000e+00
-4.34550000e-08,0.00000000e+00
-4.32950000e-08,8.00000000e-03
-4.31350000e-08,8.00000000e-03
-4.29750000e-08,8.00000000e-03
-4.28150000e-08,8.00000000e-03
-4.26550000e-08,8.00000000e-03
